日付,始値,高値,安値,終値,出来高,日経平均,ドル円
2023-03-20,2985.7,2999.7,2974.5,2976.1,1659898,35945,147.59
2023-03-21,2967.1,2992.8,2961.1,2967.2,1276337,36231,147.82
2023-03-22,2975.5,2985.2,2969.1,2978.4,1733322,36703,147.25
2023-03-23,2984.1,2989.9,2903.2,2904.4,5405212,36333,148.93
2023-03-24,2907.7,2914.4,2907.3,2911.4,1185407,36268,149.77
2023-03-27,2906.5,2931.4,2902.8,2930.0,2385310,36496,147.66
2023-03-28,2946.5,2954.0,2905.4,2911.2,1971414,36262,147.27
2023-03-29,2909.0,2929.8,2863.0,2878.7,2026110,36095,146.88
2023-03-30,2881.0,2943.4,2870.4,2938.9,3635635,36217,146.24
2023-03-31,2935.7,2957.8,2926.7,2956.1,1520709,36141,147.55
2023-04-03,2951.3,2955.0,2754.5,2757.5,9182823,36032,148.09
2023-04-04,2765.3,2768.1,2658.2,2665.7,7711940,36360,148.12
2023-04-05,2676.8,2704.4,2675.2,2690.9,2414210,36530,148.78
2023-04-06,2697.1,2715.0,2693.6,2701.6,1516638,36473,148.35
2023-04-07,2703.6,2721.0,2669.4,2688.4,1944958,36404,149.62
2023-04-10,2673.5,2716.4,2667.9,2704.2,1477129,36364,149.44
2023-04-11,2710.7,2731.6,2710.2,2717.7,1743262,36517,150.00
2023-04-12,2718.9,2741.4,2709.0,2738.8,1971749,36962,150.08
2023-04-13,2750.9,2756.1,2712.1,2719.7,2463382,37120,149.92
2023-04-14,2714.9,2722.6,2696.6,2700.4,1916774,37313,147.87
2023-04-17,2708.6,2770.6,2702.9,2765.2,3426522,37677,147.35
2023-04-18,2756.6,2771.2,2725.1,2732.3,3768608,37436,147.16
2023-04-19,2732.4,2782.2,2730.5,2775.3,2893220,37851,146.92
2023-04-20,2794.5,2846.5,2785.7,2838.3,3905300,38527,145.87
2023-04-21,2828.5,2831.3,2798.7,2801.3,3942819,38355,146.15
2023-04-24,2795.2,2837.0,2790.4,2827.7,2296161,38509,146.33
2023-04-25,2836.2,2843.2,2832.2,2838.0,1335795,38855,146.87
2023-04-26,2828.3,2927.4,2817.0,2896.4,4807690,39515,148.19
2023-04-27,2889.5,2893.3,2865.9,2887.8,1293573,39808,147.42
2023-04-28,2891.2,2913.1,2846.8,2869.2,2429519,39683,146.99
2023-05-01,2878.9,2930.9,2878.9,2908.3,2221099,40079,146.99
2023-05-02,2925.0,2966.1,2891.5,2900.6,1383669,39662,146.81
2023-05-03,2903.6,2924.9,2839.5,2844.2,3430378,39524,147.40
2023-05-04,2841.5,2853.5,2742.8,2743.3,8893774,38979,147.76
2023-05-05,2742.5,2763.9,2728.1,2754.9,1771998,39341,147.33
2023-05-08,2752.1,2755.5,2729.9,2734.8,1973319,38944,147.23
2023-05-09,2744.0,2794.9,2737.4,2790.5,5482406,39163,148.07
2023-05-10,2780.9,2873.6,2780.1,2843.2,3581763,38810,149.06
2023-05-11,2841.1,2849.5,2794.5,2807.8,3261002,38501,149.26
2023-05-12,2819.8,2821.2,2805.4,2808.8,955280,38764,149.69
2023-05-15,2819.1,2825.9,2804.4,2808.5,930038,38545,149.79
2023-05-16,2802.4,2830.5,2794.5,2821.2,1423454,38358,149.32
2023-05-17,2811.6,2901.6,2795.3,2893.7,6326956,38884,148.96
2023-05-18,2896.1,2923.6,2895.1,2909.6,1513248,39218,149.22
2023-05-19,2899.7,2927.4,2885.7,2919.5,1719181,39229,149.25
2023-05-22,2920.8,2941.7,2870.3,2896.6,1852970,39184,148.39
2023-05-23,2890.2,2947.0,2887.5,2939.4,2952382,39090,147.66
2023-05-24,2930.8,2936.0,2828.0,2850.5,4048105,38700,147.42
2023-05-25,2862.1,2970.9,2860.3,2951.9,7939865,38954,146.56
2023-05-26,2962.4,2968.1,2875.7,2876.1,6393997,38574,146.03
2023-05-29,2884.7,2908.1,2880.7,2886.5,1273627,38339,145.51
2023-05-30,2897.5,2949.1,2889.0,2944.4,3680442,38547,146.76
2023-05-31,2945.1,2955.1,2941.2,2944.2,928785,38847,146.98
2023-06-01,2945.5,2949.3,2911.6,2915.3,2607061,38509,147.26
2023-06-02,2925.3,2947.8,2833.7,2837.3,5744908,38406,147.47
2023-06-05,2843.1,2897.7,2838.4,2886.0,3886250,38757,148.81
2023-06-06,2894.3,2905.1,2890.4,2904.5,1642852,38863,149.75
2023-06-07,2906.1,2989.5,2899.2,2970.8,4734795,39207,152.24
2023-06-08,2983.3,2990.7,2950.6,2963.7,1316093,38706,153.91
2023-06-09,2954.3,3032.0,2946.3,3015.8,4161627,38617,153.60
2023-06-12,3008.0,3102.1,2989.5,3090.3,4961000,39469,153.20
2023-06-13,3099.4,3195.1,3094.2,3173.4,3983452,39841,154.18
2023-06-14,3184.0,3222.4,3157.4,3222.4,3582326,40556,153.81
2023-06-15,3209.2,3218.0,3162.0,3174.1,3719424,40852,154.95
2023-06-16,3173.4,3178.1,3136.7,3141.6,2896507,40606,156.88
2023-06-19,3140.1,3239.3,3138.8,3231.0,3732299,41457,157.48
2023-06-20,3227.9,3261.1,3215.2,3243.4,1383794,41570,157.55
2023-06-21,3265.2,3273.4,3224.4,3227.9,1919895,41454,157.49
2023-06-22,3204.3,3269.1,3192.4,3259.7,3325172,41695,156.50
2023-06-23,3258.5,3345.5,3253.5,3336.4,6083519,42335,156.99
2023-06-26,3342.3,3345.8,3332.0,3335.5,988863,42143,156.59
2023-06-27,3319.8,3435.4,3313.2,3420.4,4664374,42530,157.49
2023-06-28,3424.1,3519.6,3416.0,3518.6,5986487,43612,158.67
2023-06-29,3499.4,3520.1,3467.8,3483.8,2580183,43387,158.36
2023-06-30,3497.5,3509.1,3479.2,3490.8,1374238,43019,158.94
2023-07-03,3500.1,3501.9,3411.6,3421.5,4226994,42407,156.46
2023-07-04,3435.0,3472.2,3430.2,3462.4,3350470,42748,155.63
2023-07-05,3477.9,3485.2,3448.9,3459.9,1072118,42644,157.49
2023-07-06,3471.9,3515.5,3468.2,3494.0,3130790,42480,157.58
2023-07-07,3501.9,3509.9,3456.5,3461.3,2489987,42709,159.29
2023-07-10,3464.9,3478.7,3442.4,3454.6,1317885,42863,158.95
2023-07-11,3459.5,3464.0,3419.4,3424.7,1826616,42242,159.73
2023-07-12,3407.4,3418.6,3365.5,3375.1,3329350,41592,159.88
2023-07-13,3380.5,3474.5,3343.7,3464.9,3534650,42066,159.29
2023-07-14,3467.6,3479.7,3394.3,3405.1,3083462,42260,160.24
2023-07-17,3419.1,3427.7,3357.7,3374.5,2911478,42313,161.40
2023-07-18,3374.0,3412.9,3349.5,3405.9,2053766,42585,160.03
2023-07-19,3410.6,3415.8,3380.0,3396.5,1190163,42109,160.80
2023-07-20,3394.3,3400.3,3311.8,3323.9,4549712,41478,160.06
2023-07-21,3337.2,3366.0,3268.5,3273.7,3454486,41331,160.04
2023-07-24,3284.3,3348.0,3272.7,3342.7,3973706,41496,159.70
2023-07-25,3341.5,3453.1,3319.1,3444.6,5908500,41974,159.72
2023-07-26,3457.3,3511.1,3445.8,3502.5,4475324,42162,157.73
2023-07-27,3501.0,3528.6,3427.4,3442.0,4758934,41827,155.49
2023-07-28,3440.9,3454.9,3348.0,3350.0,4407868,42017,155.36
2023-07-31,3367.5,3375.8,3292.8,3304.0,3273345,41964,154.42
2023-08-01,3315.7,3317.0,3268.0,3268.7,2595310,41964,153.10
2023-08-02,3269.0,3310.7,3260.1,3305.7,3025571,42570,153.00
2023-08-03,3311.3,3418.2,3302.2,3391.6,4324156,43380,153.36
2023-08-04,3386.1,3400.6,3355.4,3364.5,2292423,43441,152.74
2023-08-07,3363.9,3384.1,3337.1,3350.6,1375152,43696,153.90
2023-08-08,3342.8,3360.8,3315.0,3316.4,2112652,43440,154.35
2023-08-09,3309.0,3333.1,3290.8,3296.4,2062131,43189,154.15
2023-08-10,3294.6,3459.9,3271.3,3440.2,10684005,43646,153.60
2023-08-11,3451.9,3503.3,3437.1,3493.4,4226193,44159,152.25
2023-08-14,3496.6,3538.1,3483.3,3521.5,2062900,44362,152.49
2023-08-15,3522.0,3536.6,3503.6,3531.9,1380798,44618,153.16
2023-08-16,3542.0,3548.6,3432.0,3439.7,6574876,44911,152.64
2023-08-17,3453.3,3468.5,3450.1,3453.7,1642455,44665,152.10
2023-08-18,3452.4,3494.1,3446.7,3487.7,3067147,44684,152.32
2023-08-21,3498.4,3509.4,3451.5,3467.1,1547362,43840,152.65
2023-08-22,3445.8,3508.7,3445.3,3503.7,2987809,44136,153.71
2023-08-23,3515.9,3524.0,3509.5,3511.4,1141959,43581,154.99
2023-08-24,3513.2,3571.1,3507.2,3552.5,3777044,43860,154.50
2023-08-25,3547.1,3607.4,3535.9,3594.4,2328585,44435,155.08
2023-08-28,3603.0,3714.5,3594.1,3697.9,6389788,45225,155.21
2023-08-29,3708.1,3711.5,3652.7,3680.4,1419985,45169,154.29
2023-08-30,3671.0,3677.3,3649.2,3677.1,1077427,45091,154.86
2023-08-31,3691.8,3711.4,3668.4,3681.6,1130400,45255,154.23
2023-09-01,3687.2,3734.5,3679.6,3715.9,2116379,45418,155.27
2023-09-04,3705.7,3850.0,3692.9,3822.1,3685022,46448,154.74
2023-09-05,3812.9,3841.2,3806.1,3826.6,1074964,46984,155.25
2023-09-06,3837.3,3883.7,3819.0,3880.7,3509297,47884,155.51
2023-09-07,3884.4,3924.6,3879.0,3914.3,1756941,48560,154.36
2023-09-08,3938.6,3956.1,3934.8,3955.5,3531957,48798,155.51
2023-09-11,3961.7,3981.2,3947.7,3959.2,1072671,48768,155.94
2023-09-12,3943.7,3963.7,3903.5,3917.4,3159474,49203,155.11
2023-09-13,3924.1,3931.5,3908.0,3912.4,1060798,48944,155.05
2023-09-14,3907.7,3919.7,3870.3,3876.4,2666629,48774,155.91
2023-09-15,3861.6,3918.4,3846.7,3910.1,2031968,49572,157.21
2023-09-18,3897.5,3904.1,3869.2,3886.4,1982646,49499,155.22
2023-09-19,3870.1,3882.5,3725.9,3732.2,6925931,48875,156.15
2023-09-20,3726.7,3765.8,3712.8,3753.0,1902854,49763,156.05
2023-09-21,3746.2,3760.7,3662.9,3663.6,3575428,49118,156.19
2023-09-22,3661.9,3746.0,3655.2,3744.9,4109659,49631,154.78
2023-09-25,3744.6,3768.4,3671.9,3676.3,3872771,49757,154.34
2023-09-26,3674.4,3683.3,3661.3,3667.5,1241887,49781,154.95
2023-09-27,3656.2,3659.5,3622.1,3644.2,1588515,49580,154.64
2023-09-28,3657.6,3666.4,3590.9,3607.1,2901687,50389,152.84
2023-09-29,3618.4,3628.9,3565.1,3581.2,2346277,50400,151.92
2023-10-02,3586.3,3597.2,3500.5,3510.3,4915573,49814,151.26
2023-10-03,3525.0,3553.4,3518.8,3550.6,2893954,49914,151.00
2023-10-04,3553.8,3574.6,3516.5,3529.7,2170169,50359,149.79
2023-10-05,3544.2,3628.5,3520.4,3618.2,4806517,50520,149.74
2023-10-06,3619.1,3631.2,3454.3,3478.3,9552895,50436,149.23
2023-10-09,3487.3,3492.6,3461.6,3476.1,1029059,50511,150.99
2023-10-10,3494.1,3497.3,3422.1,3442.1,1907924,50267,150.40
2023-10-11,3431.1,3432.9,3404.4,3409.3,2806496,50418,151.12
2023-10-12,3416.6,3450.9,3379.3,3388.6,1985978,50528,151.35
2023-10-13,3393.2,3403.3,3294.5,3315.0,5258125,49922,151.43
2023-10-16,3308.1,3351.8,3297.5,3347.4,3052209,50781,151.13
2023-10-17,3340.6,3366.5,3335.4,3351.7,1200573,50774,151.58
2023-10-18,3357.9,3368.2,3325.2,3325.8,2568705,50419,151.88
2023-10-19,3335.5,3381.8,3324.8,3377.6,3265611,50969,150.98
2023-10-20,3369.7,3417.5,3366.2,3417.0,3022752,51849,150.38
2023-10-23,3397.6,3403.5,3362.7,3384.7,3251680,51242,149.61
2023-10-24,3399.0,3477.8,3385.6,3473.4,5284634,52214,149.44
2023-10-25,3471.8,3491.1,3459.4,3461.4,1316741,52111,149.05
2023-10-26,3459.5,3462.3,3356.2,3396.1,5247905,51702,149.36
2023-10-27,3397.0,3476.8,3386.5,3473.5,3170281,51520,148.83
2023-10-30,3476.7,3488.9,3476.5,3482.3,1252891,51438,147.44
2023-10-31,3480.7,3482.3,3462.0,3475.2,1213226,51663,147.17
2023-11-01,3475.0,3506.4,3471.6,3492.1,2094813,51701,147.06
2023-11-02,3488.4,3519.7,3461.8,3513.2,1811072,52172,145.82
2023-11-03,3527.2,3535.6,3450.2,3467.9,2709276,51629,146.23
2023-11-06,3462.6,3485.8,3459.3,3474.4,1337012,52030,147.23
2023-11-07,3474.3,3538.3,3462.6,3534.5,2594252,52374,147.67
2023-11-08,3549.8,3582.6,3536.2,3544.3,1380399,52144,148.37
2023-11-09,3534.5,3623.9,3524.0,3614.4,3218343,52673,149.06
2023-11-10,3625.9,3631.5,3465.6,3494.1,9080597,51789,148.23
2023-11-13,3492.4,3496.4,3431.3,3452.4,3684383,51836,147.18
2023-11-14,3453.7,3462.1,3379.2,3402.6,3373723,51099,148.33
2023-11-15,3410.1,3418.8,3308.6,3315.6,6138219,51300,149.11
2023-11-16,3309.9,3354.0,3294.7,3344.9,2380408,52267,148.32
2023-11-17,3351.9,3428.0,3343.3,3419.3,4598279,52338,148.72
2023-11-20,3402.9,3544.7,3387.4,3526.1,4638697,53067,148.38
2023-11-21,3544.4,3606.7,3539.9,3595.5,3303901,53637,148.59
2023-11-22,3594.0,3600.4,3574.6,3584.4,1292612,54345,148.05
2023-11-23,3592.0,3606.6,3542.3,3545.9,3424036,54314,147.82
2023-11-24,3541.0,3550.3,3504.3,3505.3,3068477,54378,146.81
2023-11-27,3501.8,3527.7,3412.1,3424.6,6036400,54022,146.91
2023-11-28,3415.7,3450.9,3405.3,3442.8,2174624,54516,146.38
2023-11-29,3454.9,3463.3,3454.4,3463.3,1700607,54296,145.05
2023-11-30,3451.1,3453.2,3431.1,3441.6,2164812,54084,145.68
2023-12-01,3450.1,3451.9,3403.0,3410.2,2685296,53814,146.27
2023-12-04,3409.6,3532.0,3382.1,3531.3,9139774,54723,146.81
2023-12-05,3537.3,3544.5,3509.3,3538.3,1177273,54538,147.59
2023-12-06,3554.3,3636.9,3549.0,3619.8,6235856,54502,148.13
2023-12-07,3620.8,3626.1,3584.7,3587.3,2245777,53780,148.17
2023-12-08,3577.0,3592.5,3575.2,3586.9,944651,54316,145.73
2023-12-11,3598.0,3608.7,3578.9,3604.0,1378538,54380,146.05
2023-12-12,3605.9,3637.8,3502.3,3521.9,5815869,54786,146.07
2023-12-13,3526.4,3528.5,3421.0,3431.5,5529948,54976,146.52
2023-12-14,3448.7,3460.2,3323.7,3331.7,7340431,53924,146.60
2023-12-15,3329.0,3399.0,3304.0,3393.3,4814677,54885,145.69
2023-12-18,3378.0,3433.7,3374.2,3429.6,2486601,55722,145.57
2023-12-19,3446.0,3462.6,3359.7,3370.9,3228903,55087,145.60
2023-12-20,3358.9,3370.5,3295.7,3295.7,6258325,54555,144.90
2023-12-21,3290.9,3350.8,3289.7,3329.8,2233443,54592,145.42
2023-12-22,3322.6,3337.7,3312.0,3313.9,1848611,54728,145.22
2023-12-25,3309.1,3319.4,3297.1,3308.4,1333467,54539,145.31
2023-12-26,3318.4,3389.9,3311.9,3373.6,4181985,54761,145.95
2023-12-27,3382.3,3402.4,3352.0,3401.3,2383610,55042,147.14
2023-12-28,3416.5,3488.0,3413.3,3470.7,4385775,55555,146.50
2023-12-29,3463.5,3475.9,3445.6,3475.3,1069158,55377,146.44
2024-01-01,3471.8,3480.1,3327.9,3331.1,7668214,55267,147.91
2024-01-02,3338.0,3343.1,3287.0,3291.7,2130514,55064,148.56
2024-01-03,3302.4,3390.9,3283.1,3372.4,4068786,55371,150.00
2024-01-04,3393.8,3397.8,3323.0,3330.0,3729186,54745,149.74
2024-01-05,3333.1,3355.4,3310.8,3326.3,1171063,54102,149.51
2024-01-08,3308.9,3337.7,3305.3,3335.7,1415931,54239,147.36
2024-01-09,3320.9,3379.1,3315.3,3371.1,2726004,54740,148.46
2024-01-10,3383.7,3483.2,3370.6,3469.2,7265081,54826,149.01
2024-01-11,3452.2,3582.7,3433.7,3543.7,3354212,55343,148.91
2024-01-12,3537.7,3566.2,3518.1,3564.2,1496149,55650,149.20
2024-01-15,3561.8,3570.5,3542.2,3542.9,2058173,55763,149.27
2024-01-16,3545.6,3628.3,3542.5,3614.4,3186496,56332,149.48
2024-01-17,3605.5,3697.9,3597.7,3664.3,3412259,57101,148.42
2024-01-18,3667.5,3716.4,3651.5,3678.9,1785144,57115,148.57
2024-01-19,3671.2,3796.6,3669.5,3769.3,3594567,57744,149.19
2024-01-22,3768.8,3784.9,3736.6,3755.9,1601079,57463,149.83
2024-01-23,3734.5,3782.9,3720.8,3760.1,1080474,57300,150.76
2024-01-24,3754.4,3757.4,3663.8,3667.4,5247340,57609,153.11
2024-01-25,3671.0,3749.1,3647.1,3732.6,4199430,57887,152.33
2024-01-26,3720.0,3818.0,3717.7,3804.6,3687496,58610,153.01
2024-01-29,3793.3,3918.6,3775.4,3915.1,3705303,58786,153.09
2024-01-30,3913.1,3954.2,3901.3,3949.4,3069500,58763,153.19
2024-01-31,3951.6,3976.7,3949.1,3964.6,1547582,59135,152.39
2024-02-01,3962.6,3967.9,3956.0,3965.3,947306,59380,152.61
2024-02-02,3957.6,3972.1,3921.1,3922.4,2274613,58511,151.87
2024-02-05,3954.5,3967.5,3895.0,3897.2,2183202,58048,152.43
2024-02-06,3891.8,3896.7,3885.1,3890.2,1277220,57490,152.28
2024-02-07,3892.6,3900.4,3833.1,3871.6,1407865,57540,152.35
2024-02-08,3890.8,3895.2,3794.3,3804.7,4560678,57032,152.84
2024-02-09,3817.3,3840.9,3777.9,3789.6,1309693,56867,152.89
2024-02-12,3788.6,3843.7,3779.9,3840.0,3579976,56941,152.76
2024-02-13,3849.1,3896.3,3848.4,3887.2,2394695,57284,152.18
2024-02-14,3883.5,3916.5,3880.9,3913.1,2087564,57408,152.12
2024-02-15,3910.5,3965.5,3901.1,3965.0,3438176,57603,152.47
2024-02-16,3959.4,3965.0,3857.6,3874.2,5976523,56833,152.40
2024-02-19,3874.6,3979.4,3853.9,3976.5,4419287,56872,152.31
2024-02-20,3985.8,4021.6,3984.7,3993.2,1932725,57391,152.48
2024-02-21,3971.1,4088.2,3967.2,4059.4,3456531,58034,153.44
2024-02-22,4050.9,4198.5,4050.1,4180.9,8187232,58858,154.59
2024-02-23,4185.6,4223.7,4174.8,4219.5,2600527,59174,154.15
2024-02-26,4229.0,4292.1,4214.7,4276.6,2319898,59709,152.84
2024-02-27,4303.7,4322.2,4288.8,4296.5,1471693,59736,153.29
2024-02-28,4310.6,4335.8,4198.5,4207.6,5908007,59554,153.48
2024-02-29,4207.1,4213.8,4115.2,4117.7,3374872,59075,153.33
2024-03-01,4108.7,4111.2,4040.3,4058.9,3095282,58918,152.60
2024-03-04,4061.9,4225.0,4045.0,4215.8,10034810,59802,152.90
2024-03-05,4203.2,4234.5,4187.8,4189.5,2242567,59819,154.94
2024-03-06,4181.9,4222.5,4176.9,4221.8,2560071,59694,155.26
2024-03-07,4206.4,4210.1,4108.8,4117.2,5642164,58558,155.47
2024-03-08,4123.6,4157.5,4033.8,4039.6,3699127,58274,155.70
2024-03-11,4025.7,4055.2,4016.0,4049.0,1358774,57946,156.39
2024-03-12,4049.5,4075.9,4030.8,4046.7,1026024,57751,155.61
2024-03-13,4056.3,4160.6,4044.9,4154.4,6320819,58845,155.08
2024-03-14,4148.7,4177.0,4021.9,4037.2,4674455,57908,154.44
2024-03-15,4011.3,4081.2,4003.8,4078.7,2453476,57932,153.93
2024-03-18,4091.4,4109.7,4072.9,4084.2,1244423,57892,153.96
2024-03-19,4099.3,4116.3,4095.9,4099.5,1393847,58409,155.31
2024-03-20,4110.3,4122.6,4107.8,4117.7,1627585,58475,156.17
2024-03-21,4130.9,4165.9,4117.9,4129.2,1537388,58324,156.80
2024-03-22,4136.3,4163.4,4102.2,4119.3,1240405,58395,155.99
2024-03-25,4111.6,4114.1,4077.7,4083.8,2049359,57069,156.38
2024-03-26,4093.5,4097.1,4063.4,4081.1,995172,57897,156.17
2024-03-27,4070.6,4104.4,4041.6,4096.5,1382753,57902,154.32
2024-03-28,4104.1,4114.1,3966.1,3971.4,4788432,57969,154.64
2024-03-29,3977.8,3995.8,3929.6,3941.7,2229042,58231,153.72
2024-04-01,3939.4,3986.2,3791.9,3803.6,6721984,58323,155.63
2024-04-02,3800.8,3802.7,3721.6,3722.2,4519192,57179,156.87
2024-04-03,3723.5,3753.1,3656.8,3662.0,3690042,56601,156.00
2024-04-04,3643.0,3665.2,3613.4,3621.8,3488802,57176,155.88
2024-04-05,3614.5,3637.1,3607.5,3627.3,1118559,57485,156.39
2024-04-08,3637.1,3677.4,3631.9,3658.0,2467322,57876,155.23
2024-04-09,3668.0,3677.8,3599.5,3616.8,3165696,58493,154.30
2024-04-10,3619.8,3635.7,3615.4,3628.5,1472316,58603,153.29
2024-04-11,3634.2,3664.4,3608.8,3648.9,2241143,58574,153.45
2024-04-12,3634.5,3722.7,3634.3,3716.8,4324845,59291,152.50
2024-04-15,3722.7,3732.9,3703.5,3711.4,1217610,58890,151.96
2024-04-16,3728.3,3832.5,3720.8,3806.7,4776594,59847,151.75
2024-04-17,3794.1,3866.3,3783.5,3853.3,2253199,60287,151.81
2024-04-18,3846.0,3996.9,3817.5,3977.2,7430719,61689,152.06
2024-04-19,3964.6,3995.9,3936.7,3978.9,1003357,61173,152.62
2024-04-22,3985.1,4071.1,3982.8,4066.0,6241043,61978,152.71
2024-04-23,4063.9,4140.8,4037.0,4130.8,4555648,61861,153.73
2024-04-24,4100.2,4149.1,4094.1,4129.6,977447,61276,153.63
2024-04-25,4155.7,4167.8,4092.3,4094.4,2141854,60705,152.83
2024-04-26,4075.9,4104.1,3940.7,3950.3,4661532,59954,153.84
2024-04-29,3966.9,3971.7,3878.1,3915.8,3072899,60269,153.41
2024-04-30,3912.8,3925.9,3881.4,3898.9,1721360,60397,154.33
2024-05-01,3913.8,3937.5,3886.0,3890.6,1443107,60265,153.42
2024-05-02,3883.8,3885.4,3795.7,3797.6,5403633,60037,152.71
2024-05-03,3793.4,3806.5,3685.1,3704.7,5941345,59228,154.00
2024-05-06,3699.1,3712.3,3681.9,3706.5,1026738,59705,152.77
2024-05-07,3722.7,3735.0,3699.5,3703.5,996800,59956,153.54
2024-05-08,3723.7,3744.5,3685.7,3693.4,1225331,59376,154.51
2024-05-09,3684.1,3689.1,3546.7,3559.6,5008976,58992,154.22
2024-05-10,3565.8,3582.2,3484.9,3492.7,4348318,58861,154.52
2024-05-13,3490.3,3522.6,3482.0,3510.3,1450426,58683,154.10
2024-05-14,3505.8,3534.5,3492.1,3492.9,1915819,58325,153.55
2024-05-15,3491.8,3508.8,3311.1,3319.0,8157195,57959,153.63
2024-05-16,3312.2,3371.9,3298.9,3367.2,2813097,58342,154.70
2024-05-17,3368.8,3398.0,3344.6,3381.7,1687534,58425,153.57
2024-05-20,3374.7,3395.4,3361.6,3394.4,1566239,58441,155.07
2024-05-21,3388.9,3418.1,3225.3,3232.9,11025060,58051,154.79
2024-05-22,3241.1,3251.7,3206.1,3213.1,2039378,57721,155.21
2024-05-23,3201.4,3251.0,3198.9,3244.8,2639435,57657,154.78
2024-05-24,3220.4,3277.8,3201.5,3268.7,2168246,57852,155.25
2024-05-27,3272.9,3281.3,3175.5,3185.9,5984930,56922,155.38
2024-05-28,3183.6,3300.4,3171.0,3278.3,5124184,57749,156.82
2024-05-29,3282.5,3356.3,3273.0,3334.1,3832293,57277,156.35
2024-05-30,3331.6,3444.9,3310.2,3438.8,6080341,57349,155.77
