群,デバイス,滞在秒数,ページ閲覧数,購入,購入額
A（現行）,タブレット,41,3,0,0
A（現行）,PC,104,6,0,0
A（現行）,PC,78,6,0,0
A（現行）,PC,89,5,0,0
A（現行）,PC,27,2,0,0
A（現行）,スマホ,76,5,0,0
A（現行）,スマホ,47,6,0,0
A（現行）,スマホ,48,3,0,0
A（現行）,スマホ,54,6,0,0
A（現行）,スマホ,20,2,0,0
A（現行）,スマホ,77,5,0,0
A（現行）,スマホ,70,4,0,0
A（現行）,スマホ,30,3,0,0
A（現行）,PC,30,6,0,0
A（現行）,PC,106,7,0,0
A（現行）,スマホ,51,4,0,0
A（現行）,スマホ,53,5,0,0
A（現行）,スマホ,43,5,0,0
A（現行）,PC,29,2,0,0
A（現行）,スマホ,69,6,0,0
A（現行）,スマホ,38,4,1,6370
A（現行）,スマホ,49,3,0,0
A（現行）,スマホ,72,5,0,0
A（現行）,スマホ,42,5,0,0
A（現行）,スマホ,44,5,0,0
A（現行）,タブレット,53,6,0,0
A（現行）,スマホ,77,5,0,0
A（現行）,スマホ,57,6,0,0
A（現行）,タブレット,22,4,0,0
A（現行）,PC,58,6,0,0
A（現行）,スマホ,28,2,0,0
A（現行）,PC,57,6,0,0
A（現行）,スマホ,46,3,0,0
A（現行）,スマホ,61,4,0,0
A（現行）,PC,95,4,0,0
A（現行）,スマホ,42,3,0,0
A（現行）,スマホ,56,6,0,0
A（現行）,スマホ,48,5,0,0
A（現行）,スマホ,26,1,0,0
A（現行）,スマホ,67,6,0,0
A（現行）,スマホ,60,5,0,0
A（現行）,PC,66,3,1,6650
A（現行）,スマホ,46,4,0,0
A（現行）,スマホ,53,6,0,0
A（現行）,スマホ,33,5,0,0
A（現行）,PC,52,5,0,0
A（現行）,PC,25,2,1,5260
A（現行）,スマホ,5,4,0,0
A（現行）,スマホ,11,1,0,0
A（現行）,スマホ,35,2,0,0
A（現行）,スマホ,5,2,0,0
A（現行）,スマホ,53,4,0,0
A（現行）,スマホ,64,5,0,0
A（現行）,スマホ,42,4,1,12400
A（現行）,PC,80,6,0,0
A（現行）,PC,49,4,0,0
A（現行）,スマホ,65,6,0,0
A（現行）,スマホ,67,5,0,0
A（現行）,スマホ,51,4,0,0
A（現行）,スマホ,15,2,0,0
A（現行）,PC,33,4,0,0
A（現行）,スマホ,28,3,0,0
A（現行）,スマホ,47,6,0,0
A（現行）,スマホ,72,4,0,0
A（現行）,スマホ,23,4,0,0
A（現行）,スマホ,56,5,0,0
A（現行）,PC,32,2,0,0
A（現行）,スマホ,45,5,0,0
A（現行）,PC,66,2,0,0
A（現行）,スマホ,55,3,0,0
A（現行）,スマホ,33,3,0,0
A（現行）,スマホ,9,2,0,0
A（現行）,スマホ,24,1,0,0
A（現行）,スマホ,35,4,0,0
A（現行）,PC,56,4,0,0
A（現行）,PC,5,3,0,0
A（現行）,スマホ,72,5,0,0
A（現行）,PC,5,1,0,0
A（現行）,タブレット,46,4,1,7540
A（現行）,PC,5,1,0,0
A（現行）,PC,69,6,1,4360
A（現行）,スマホ,60,8,0,0
A（現行）,スマホ,22,2,0,0
A（現行）,スマホ,64,5,0,0
A（現行）,PC,103,5,0,0
A（現行）,スマホ,9,2,0,0
A（現行）,PC,5,1,0,0
A（現行）,スマホ,41,5,0,0
A（現行）,スマホ,39,5,0,0
A（現行）,スマホ,5,2,0,0
A（現行）,PC,109,9,0,0
A（現行）,スマホ,13,1,1,3810
A（現行）,スマホ,48,4,0,0
A（現行）,スマホ,5,1,0,0
A（現行）,スマホ,31,4,0,0
A（現行）,スマホ,35,5,1,8850
A（現行）,PC,28,1,0,0
A（現行）,PC,32,3,0,0
A（現行）,スマホ,50,3,0,0
A（現行）,スマホ,63,7,0,0
A（現行）,PC,66,6,0,0
A（現行）,タブレット,12,1,0,0
A（現行）,スマホ,71,5,0,0
A（現行）,スマホ,28,3,0,0
A（現行）,タブレット,45,4,0,0
A（現行）,PC,65,5,0,0
A（現行）,スマホ,43,5,0,0
A（現行）,スマホ,66,2,0,0
A（現行）,スマホ,5,2,0,0
A（現行）,PC,5,1,0,0
A（現行）,スマホ,22,2,1,7550
A（現行）,スマホ,35,3,0,0
A（現行）,スマホ,47,3,0,0
A（現行）,スマホ,36,3,0,0
A（現行）,スマホ,23,4,0,0
A（現行）,スマホ,45,2,0,0
A（現行）,PC,57,5,0,0
A（現行）,スマホ,71,6,0,0
A（現行）,スマホ,46,3,0,0
A（現行）,PC,6,2,0,0
A（現行）,スマホ,41,2,0,0
A（現行）,スマホ,9,2,0,0
A（現行）,PC,63,5,0,0
A（現行）,スマホ,56,5,0,0
A（現行）,スマホ,41,4,0,0
A（現行）,スマホ,66,4,0,0
A（現行）,PC,64,5,0,0
A（現行）,スマホ,38,3,0,0
A（現行）,スマホ,73,7,0,0
A（現行）,スマホ,41,4,0,0
A（現行）,PC,11,2,0,0
A（現行）,スマホ,18,1,0,0
A（現行）,スマホ,36,4,0,0
A（現行）,スマホ,33,3,0,0
A（現行）,PC,38,2,0,0
A（現行）,スマホ,40,3,1,5100
A（現行）,スマホ,63,4,0,0
A（現行）,スマホ,38,4,0,0
A（現行）,PC,87,8,0,0
A（現行）,スマホ,5,1,0,0
A（現行）,スマホ,50,3,0,0
A（現行）,スマホ,65,6,0,0
A（現行）,スマホ,69,7,0,0
A（現行）,スマホ,64,4,0,0
A（現行）,スマホ,58,5,0,0
A（現行）,PC,12,2,0,0
A（現行）,スマホ,56,5,0,0
A（現行）,PC,44,5,0,0
A（現行）,PC,87,6,0,0
A（現行）,スマホ,68,7,0,0
A（現行）,PC,47,5,0,0
A（現行）,PC,53,5,1,11950
A（現行）,スマホ,38,6,0,0
A（現行）,スマホ,26,2,0,0
A（現行）,スマホ,26,2,0,0
A（現行）,PC,58,4,0,0
A（現行）,PC,20,1,0,0
A（現行）,スマホ,56,5,0,0
A（現行）,スマホ,78,7,0,0
A（現行）,PC,54,4,0,0
A（現行）,PC,68,6,0,0
A（現行）,スマホ,82,6,0,0
A（現行）,スマホ,45,4,0,0
A（現行）,スマホ,49,2,0,0
A（現行）,スマホ,6,1,0,0
A（現行）,スマホ,40,5,0,0
A（現行）,スマホ,25,3,0,0
A（現行）,スマホ,35,4,0,0
A（現行）,スマホ,63,4,0,0
A（現行）,スマホ,70,5,1,16860
A（現行）,スマホ,5,2,0,0
A（現行）,スマホ,19,2,0,0
A（現行）,スマホ,35,5,1,5360
A（現行）,スマホ,38,5,0,0
A（現行）,PC,68,6,0,0
A（現行）,PC,54,3,0,0
A（現行）,スマホ,68,5,0,0
A（現行）,スマホ,37,4,0,0
A（現行）,PC,5,3,0,0
A（現行）,スマホ,55,5,0,0
A（現行）,スマホ,63,2,0,0
A（現行）,スマホ,68,5,0,0
A（現行）,タブレット,31,4,0,0
A（現行）,PC,60,4,0,0
A（現行）,スマホ,5,1,0,0
A（現行）,スマホ,67,5,0,0
A（現行）,PC,75,6,0,0
A（現行）,PC,67,4,0,0
A（現行）,PC,62,7,0,0
A（現行）,タブレット,71,4,0,0
A（現行）,スマホ,59,3,0,0
A（現行）,スマホ,63,4,0,0
A（現行）,タブレット,5,3,1,2310
A（現行）,PC,99,8,0,0
A（現行）,スマホ,42,2,0,0
A（現行）,スマホ,34,3,0,0
A（現行）,スマホ,36,5,0,0
A（現行）,スマホ,33,3,0,0
A（現行）,スマホ,70,4,0,0
A（現行）,スマホ,33,4,0,0
A（現行）,PC,65,5,0,0
A（現行）,PC,101,8,0,0
A（現行）,タブレット,28,3,0,0
A（現行）,スマホ,22,2,0,0
A（現行）,タブレット,48,4,0,0
A（現行）,PC,44,2,0,0
A（現行）,タブレット,65,6,0,0
A（現行）,タブレット,35,3,0,0
A（現行）,スマホ,80,7,0,0
A（現行）,スマホ,30,5,1,10980
A（現行）,タブレット,64,4,0,0
A（現行）,スマホ,5,2,0,0
A（現行）,スマホ,28,2,0,0
A（現行）,スマホ,5,1,0,0
A（現行）,スマホ,47,2,0,0
A（現行）,スマホ,25,3,0,0
A（現行）,スマホ,49,3,0,0
A（現行）,スマホ,84,5,0,0
A（現行）,スマホ,59,4,0,0
A（現行）,PC,5,3,0,0
A（現行）,スマホ,42,4,0,0
A（現行）,スマホ,64,5,0,0
A（現行）,PC,114,8,0,0
A（現行）,スマホ,67,5,0,0
A（現行）,PC,55,4,0,0
A（現行）,タブレット,32,5,0,0
A（現行）,PC,34,4,0,0
A（現行）,スマホ,14,2,0,0
A（現行）,タブレット,15,3,0,0
A（現行）,タブレット,7,1,0,0
A（現行）,スマホ,10,2,0,0
A（現行）,スマホ,6,3,0,0
A（現行）,スマホ,13,2,1,6570
A（現行）,スマホ,34,3,0,0
A（現行）,スマホ,56,5,0,0
A（現行）,PC,65,5,0,0
A（現行）,PC,17,1,0,0
A（現行）,スマホ,50,4,0,0
A（現行）,タブレット,57,5,0,0
A（現行）,PC,100,6,1,9110
A（現行）,タブレット,9,1,0,0
A（現行）,タブレット,15,3,0,0
A（現行）,スマホ,39,2,0,0
A（現行）,スマホ,86,4,0,0
A（現行）,タブレット,29,4,0,0
A（現行）,スマホ,58,7,0,0
A（現行）,スマホ,29,5,0,0
A（現行）,PC,33,1,0,0
A（現行）,スマホ,35,2,0,0
A（現行）,スマホ,55,1,0,0
A（現行）,スマホ,69,5,0,0
A（現行）,PC,63,6,0,0
A（現行）,スマホ,17,2,0,0
A（現行）,スマホ,35,1,0,0
A（現行）,スマホ,69,5,0,0
A（現行）,スマホ,48,3,0,0
A（現行）,スマホ,17,2,0,0
A（現行）,PC,57,6,1,4270
A（現行）,タブレット,35,3,1,5670
A（現行）,スマホ,10,1,0,0
A（現行）,スマホ,14,1,0,0
A（現行）,スマホ,48,5,0,0
A（現行）,PC,92,6,1,5640
A（現行）,スマホ,31,5,0,0
A（現行）,スマホ,58,5,0,0
A（現行）,PC,46,4,0,0
A（現行）,スマホ,77,6,0,0
A（現行）,PC,5,1,0,0
A（現行）,スマホ,15,2,0,0
A（現行）,スマホ,34,3,0,0
A（現行）,スマホ,14,2,0,0
A（現行）,スマホ,57,4,0,0
A（現行）,スマホ,77,6,0,0
A（現行）,スマホ,29,4,0,0
A（現行）,スマホ,69,5,0,0
A（現行）,PC,57,7,0,0
A（現行）,PC,52,3,0,0
A（現行）,スマホ,48,3,0,0
A（現行）,スマホ,58,6,0,0
A（現行）,スマホ,14,1,0,0
A（現行）,スマホ,17,2,0,0
A（現行）,スマホ,5,4,0,0
A（現行）,スマホ,62,5,0,0
A（現行）,PC,31,4,0,0
A（現行）,スマホ,44,2,0,0
A（現行）,スマホ,24,4,0,0
A（現行）,PC,87,8,1,1740
A（現行）,スマホ,36,4,0,0
A（現行）,スマホ,19,5,0,0
A（現行）,スマホ,59,4,0,0
A（現行）,スマホ,69,6,0,0
A（現行）,スマホ,37,4,0,0
A（現行）,スマホ,74,6,0,0
A（現行）,スマホ,33,3,0,0
A（現行）,スマホ,33,4,0,0
A（現行）,スマホ,67,5,0,0
A（現行）,スマホ,51,6,0,0
A（現行）,スマホ,76,6,1,2830
A（現行）,スマホ,29,5,0,0
A（現行）,PC,14,1,0,0
A（現行）,スマホ,44,6,0,0
A（現行）,スマホ,63,6,0,0
A（現行）,PC,43,3,0,0
A（現行）,スマホ,37,4,0,0
A（現行）,PC,59,5,0,0
A（現行）,スマホ,60,6,0,0
A（現行）,スマホ,27,3,0,0
A（現行）,スマホ,18,4,0,0
A（現行）,PC,34,4,0,0
A（現行）,PC,104,6,1,2530
A（現行）,スマホ,23,2,0,0
A（現行）,スマホ,41,1,0,0
A（現行）,スマホ,33,4,0,0
A（現行）,PC,41,5,1,7550
A（現行）,スマホ,36,3,0,0
A（現行）,スマホ,39,5,1,6970
A（現行）,スマホ,73,5,0,0
A（現行）,タブレット,40,2,0,0
A（現行）,タブレット,93,9,0,0
A（現行）,スマホ,58,5,0,0
A（現行）,スマホ,56,4,0,0
A（現行）,タブレット,44,4,0,0
A（現行）,スマホ,5,2,0,0
A（現行）,PC,36,6,0,0
A（現行）,スマホ,58,4,0,0
A（現行）,スマホ,5,2,0,0
A（現行）,スマホ,5,2,0,0
A（現行）,スマホ,23,1,0,0
A（現行）,スマホ,47,4,0,0
A（現行）,スマホ,5,2,0,0
A（現行）,スマホ,39,3,0,0
A（現行）,スマホ,50,2,0,0
A（現行）,PC,5,2,0,0
A（現行）,PC,51,5,0,0
A（現行）,PC,56,5,1,2480
A（現行）,タブレット,15,3,0,0
A（現行）,PC,6,1,1,11890
A（現行）,スマホ,54,4,0,0
A（現行）,スマホ,21,3,0,0
A（現行）,スマホ,43,5,0,0
A（現行）,PC,48,4,0,0
A（現行）,スマホ,30,3,0,0
A（現行）,スマホ,30,3,0,0
A（現行）,PC,105,5,0,0
A（現行）,PC,71,5,0,0
A（現行）,PC,86,5,1,3130
A（現行）,PC,47,3,1,3900
A（現行）,スマホ,37,4,0,0
A（現行）,タブレット,22,2,0,0
A（現行）,スマホ,67,6,0,0
A（現行）,スマホ,40,1,0,0
A（現行）,スマホ,33,2,0,0
A（現行）,タブレット,29,4,0,0
A（現行）,PC,61,4,1,3830
A（現行）,スマホ,82,6,0,0
A（現行）,PC,5,1,0,0
A（現行）,PC,57,4,0,0
A（現行）,スマホ,69,5,0,0
A（現行）,PC,29,2,0,0
A（現行）,PC,30,4,0,0
A（現行）,PC,10,4,0,0
A（現行）,スマホ,5,1,0,0
A（現行）,PC,48,3,0,0
A（現行）,タブレット,98,7,0,0
A（現行）,スマホ,32,4,0,0
A（現行）,PC,55,6,0,0
A（現行）,スマホ,67,4,0,0
A（現行）,スマホ,29,1,0,0
A（現行）,スマホ,76,6,0,0
A（現行）,スマホ,45,2,0,0
A（現行）,スマホ,67,5,0,0
A（現行）,スマホ,59,5,0,0
A（現行）,スマホ,32,6,0,0
A（現行）,スマホ,79,6,0,0
A（現行）,スマホ,40,3,0,0
A（現行）,スマホ,7,1,0,0
A（現行）,スマホ,62,6,0,0
A（現行）,タブレット,55,4,0,0
A（現行）,スマホ,12,3,0,0
A（現行）,スマホ,36,5,0,0
A（現行）,PC,80,5,0,0
A（現行）,スマホ,73,5,0,0
A（現行）,PC,47,3,0,0
A（現行）,スマホ,63,6,0,0
A（現行）,スマホ,5,2,0,0
A（現行）,タブレット,100,6,0,0
A（現行）,スマホ,44,3,0,0
A（現行）,スマホ,37,4,0,0
A（現行）,スマホ,39,2,0,0
A（現行）,スマホ,16,1,1,5190
A（現行）,スマホ,23,2,0,0
A（現行）,タブレット,67,6,0,0
A（現行）,スマホ,42,3,0,0
A（現行）,PC,47,4,0,0
A（現行）,PC,63,6,0,0
A（現行）,スマホ,35,5,0,0
A（現行）,スマホ,71,6,0,0
A（現行）,スマホ,55,5,0,0
A（現行）,スマホ,73,5,0,0
A（現行）,スマホ,22,4,0,0
A（現行）,タブレット,25,1,0,0
A（現行）,スマホ,44,3,0,0
A（現行）,スマホ,46,5,0,0
A（現行）,スマホ,53,3,0,0
A（現行）,PC,86,6,0,0
A（現行）,スマホ,5,1,0,0
A（現行）,PC,60,4,1,3990
A（現行）,スマホ,44,3,0,0
A（現行）,スマホ,15,3,0,0
A（現行）,スマホ,58,5,0,0
A（現行）,スマホ,61,3,0,0
A（現行）,PC,30,4,0,0
A（現行）,スマホ,35,4,0,0
A（現行）,スマホ,24,3,0,0
A（現行）,PC,21,4,0,0
A（現行）,PC,91,7,0,0
A（現行）,スマホ,38,2,0,0
A（現行）,PC,67,5,0,0
A（現行）,PC,67,4,1,3260
A（現行）,スマホ,34,4,0,0
A（現行）,スマホ,40,4,0,0
A（現行）,PC,50,5,0,0
A（現行）,PC,26,5,0,0
A（現行）,PC,87,6,0,0
A（現行）,PC,75,6,0,0
B（新デザイン）,PC,34,4,0,0
B（新デザイン）,PC,79,4,0,0
B（新デザイン）,スマホ,47,4,0,0
B（新デザイン）,スマホ,42,3,0,0
B（新デザイン）,スマホ,72,4,0,0
B（新デザイン）,PC,108,7,0,0
B（新デザイン）,スマホ,65,5,0,0
B（新デザイン）,PC,92,8,0,0
B（新デザイン）,PC,61,3,0,0
B（新デザイン）,PC,5,2,0,0
B（新デザイン）,スマホ,76,4,0,0
B（新デザイン）,スマホ,63,4,0,0
B（新デザイン）,タブレット,42,3,0,0
B（新デザイン）,PC,67,4,0,0
B（新デザイン）,スマホ,29,4,0,0
B（新デザイン）,スマホ,47,6,0,0
B（新デザイン）,スマホ,54,2,0,0
B（新デザイン）,スマホ,70,5,0,0
B（新デザイン）,タブレット,38,3,0,0
B（新デザイン）,PC,72,5,0,0
B（新デザイン）,スマホ,76,7,0,0
B（新デザイン）,スマホ,63,7,0,0
B（新デザイン）,スマホ,41,5,0,0
B（新デザイン）,スマホ,43,5,0,0
B（新デザイン）,PC,96,6,0,0
B（新デザイン）,PC,43,3,1,5850
B（新デザイン）,タブレット,39,3,0,0
B（新デザイン）,スマホ,66,4,0,0
B（新デザイン）,スマホ,50,5,0,0
B（新デザイン）,スマホ,96,6,0,0
B（新デザイン）,スマホ,57,5,0,0
B（新デザイン）,スマホ,49,5,0,0
B（新デザイン）,PC,26,2,1,11620
B（新デザイン）,スマホ,49,4,0,0
B（新デザイン）,PC,96,7,0,0
B（新デザイン）,PC,54,4,1,3800
B（新デザイン）,PC,69,6,0,0
B（新デザイン）,PC,65,5,0,0
B（新デザイン）,スマホ,71,6,0,0
B（新デザイン）,スマホ,30,2,0,0
B（新デザイン）,スマホ,79,6,0,0
B（新デザイン）,スマホ,35,2,0,0
B（新デザイン）,スマホ,66,5,0,0
B（新デザイン）,スマホ,67,5,0,0
B（新デザイン）,スマホ,23,2,0,0
B（新デザイン）,スマホ,46,4,0,0
B（新デザイン）,スマホ,46,4,0,0
B（新デザイン）,スマホ,62,4,0,0
B（新デザイン）,スマホ,57,5,0,0
B（新デザイン）,タブレット,34,6,0,0
B（新デザイン）,PC,87,5,0,0
B（新デザイン）,スマホ,60,4,0,0
B（新デザイン）,スマホ,66,7,0,0
B（新デザイン）,PC,62,3,0,0
B（新デザイン）,スマホ,69,5,0,0
B（新デザイン）,スマホ,78,6,0,0
B（新デザイン）,スマホ,62,5,0,0
B（新デザイン）,スマホ,33,3,0,0
B（新デザイン）,スマホ,61,8,1,2780
B（新デザイン）,タブレット,102,7,0,0
B（新デザイン）,PC,117,8,1,13150
B（新デザイン）,タブレット,84,7,0,0
B（新デザイン）,スマホ,85,7,0,0
B（新デザイン）,PC,19,3,0,0
B（新デザイン）,スマホ,67,6,0,0
B（新デザイン）,スマホ,60,4,0,0
B（新デザイン）,スマホ,55,5,0,0
B（新デザイン）,スマホ,51,5,0,0
B（新デザイン）,スマホ,120,10,0,0
B（新デザイン）,スマホ,54,4,0,0
B（新デザイン）,スマホ,80,6,0,0
B（新デザイン）,スマホ,24,3,1,4110
B（新デザイン）,スマホ,73,5,1,4770
B（新デザイン）,スマホ,89,7,0,0
B（新デザイン）,スマホ,38,3,0,0
B（新デザイン）,スマホ,68,6,0,0
B（新デザイン）,スマホ,65,7,0,0
B（新デザイン）,スマホ,79,5,0,0
B（新デザイン）,スマホ,54,4,1,5320
B（新デザイン）,PC,94,7,0,0
B（新デザイン）,スマホ,74,4,0,0
B（新デザイン）,タブレット,49,4,0,0
B（新デザイン）,タブレット,76,7,0,0
B（新デザイン）,スマホ,73,6,0,0
B（新デザイン）,PC,63,4,0,0
B（新デザイン）,PC,130,10,0,0
B（新デザイン）,スマホ,56,5,0,0
B（新デザイン）,スマホ,82,6,0,0
B（新デザイン）,PC,70,5,1,3650
B（新デザイン）,PC,63,6,1,3210
B（新デザイン）,スマホ,35,1,0,0
B（新デザイン）,タブレット,90,5,0,0
B（新デザイン）,PC,122,7,0,0
B（新デザイン）,スマホ,47,5,0,0
B（新デザイン）,PC,89,6,0,0
B（新デザイン）,スマホ,83,7,1,4060
B（新デザイン）,スマホ,43,5,0,0
B（新デザイン）,スマホ,95,10,0,0
B（新デザイン）,PC,38,4,0,0
B（新デザイン）,PC,80,6,0,0
B（新デザイン）,スマホ,61,4,0,0
B（新デザイン）,スマホ,54,5,1,9360
B（新デザイン）,PC,81,4,0,0
B（新デザイン）,スマホ,82,5,0,0
B（新デザイン）,スマホ,29,2,0,0
B（新デザイン）,PC,34,2,0,0
B（新デザイン）,スマホ,42,4,0,0
B（新デザイン）,スマホ,74,5,0,0
B（新デザイン）,PC,106,6,0,0
B（新デザイン）,スマホ,53,4,0,0
B（新デザイン）,PC,36,3,0,0
B（新デザイン）,スマホ,60,6,0,0
B（新デザイン）,スマホ,73,6,0,0
B（新デザイン）,スマホ,63,5,0,0
B（新デザイン）,スマホ,77,6,0,0
B（新デザイン）,タブレット,79,7,0,0
B（新デザイン）,スマホ,85,6,0,0
B（新デザイン）,スマホ,61,5,0,0
B（新デザイン）,PC,102,8,0,0
B（新デザイン）,スマホ,54,4,1,2030
B（新デザイン）,スマホ,30,7,0,0
B（新デザイン）,PC,98,5,0,0
B（新デザイン）,スマホ,26,3,0,0
B（新デザイン）,スマホ,22,2,0,0
B（新デザイン）,スマホ,54,5,0,0
B（新デザイン）,PC,102,7,0,0
B（新デザイン）,スマホ,64,5,0,0
B（新デザイン）,スマホ,61,3,0,0
B（新デザイン）,PC,95,6,0,0
B（新デザイン）,PC,9,2,0,0
B（新デザイン）,スマホ,63,4,0,0
B（新デザイン）,スマホ,65,4,0,0
B（新デザイン）,PC,49,4,1,6210
B（新デザイン）,スマホ,81,6,0,0
B（新デザイン）,PC,55,4,0,0
B（新デザイン）,スマホ,113,7,0,0
B（新デザイン）,スマホ,58,4,0,0
B（新デザイン）,PC,88,6,0,0
B（新デザイン）,スマホ,58,2,0,0
B（新デザイン）,スマホ,80,5,0,0
B（新デザイン）,PC,26,2,0,0
B（新デザイン）,スマホ,80,6,0,0
B（新デザイン）,スマホ,17,2,0,0
B（新デザイン）,PC,53,5,0,0
B（新デザイン）,スマホ,81,6,0,0
B（新デザイン）,PC,59,5,1,3590
B（新デザイン）,スマホ,65,3,0,0
B（新デザイン）,スマホ,67,7,0,0
B（新デザイン）,スマホ,72,4,0,0
B（新デザイン）,スマホ,46,3,0,0
B（新デザイン）,スマホ,57,3,0,0
B（新デザイン）,スマホ,33,4,0,0
B（新デザイン）,タブレット,5,2,0,0
B（新デザイン）,スマホ,53,3,0,0
B（新デザイン）,スマホ,50,4,0,0
B（新デザイン）,スマホ,33,3,0,0
B（新デザイン）,スマホ,35,5,0,0
B（新デザイン）,タブレット,71,7,0,0
B（新デザイン）,PC,63,8,1,8070
B（新デザイン）,タブレット,45,4,0,0
B（新デザイン）,スマホ,103,9,1,5320
B（新デザイン）,PC,81,6,0,0
B（新デザイン）,PC,31,4,0,0
B（新デザイン）,スマホ,56,6,0,0
B（新デザイン）,PC,63,4,0,0
B（新デザイン）,スマホ,85,6,0,0
B（新デザイン）,スマホ,5,2,0,0
B（新デザイン）,PC,121,7,0,0
B（新デザイン）,PC,86,6,0,0
B（新デザイン）,PC,59,6,0,0
B（新デザイン）,タブレット,43,3,1,13170
B（新デザイン）,PC,79,8,0,0
B（新デザイン）,スマホ,66,7,0,0
B（新デザイン）,スマホ,65,5,0,0
B（新デザイン）,スマホ,61,6,0,0
B（新デザイン）,PC,63,6,0,0
B（新デザイン）,PC,83,4,1,2530
B（新デザイン）,スマホ,63,2,0,0
B（新デザイン）,スマホ,51,6,0,0
B（新デザイン）,スマホ,23,3,1,6460
B（新デザイン）,スマホ,44,3,0,0
B（新デザイン）,タブレット,76,6,0,0
B（新デザイン）,PC,72,6,1,5700
B（新デザイン）,タブレット,40,5,0,0
B（新デザイン）,スマホ,62,5,0,0
B（新デザイン）,PC,88,7,1,13310
B（新デザイン）,スマホ,51,2,0,0
B（新デザイン）,PC,75,5,0,0
B（新デザイン）,PC,11,2,0,0
B（新デザイン）,PC,65,4,0,0
B（新デザイン）,スマホ,62,5,0,0
B（新デザイン）,スマホ,61,4,1,7580
B（新デザイン）,タブレット,72,5,0,0
B（新デザイン）,PC,50,6,1,7840
B（新デザイン）,スマホ,49,4,0,0
B（新デザイン）,スマホ,34,4,0,0
B（新デザイン）,スマホ,42,2,0,0
B（新デザイン）,スマホ,82,6,0,0
B（新デザイン）,スマホ,79,6,0,0
B（新デザイン）,スマホ,72,4,0,0
B（新デザイン）,PC,61,4,0,0
B（新デザイン）,PC,147,10,0,0
B（新デザイン）,スマホ,60,5,0,0
B（新デザイン）,スマホ,77,7,0,0
B（新デザイン）,PC,36,3,1,5970
B（新デザイン）,スマホ,57,4,0,0
B（新デザイン）,PC,89,6,0,0
B（新デザイン）,タブレット,31,3,0,0
B（新デザイン）,スマホ,84,4,0,0
B（新デザイン）,スマホ,54,4,0,0
B（新デザイン）,タブレット,38,6,0,0
B（新デザイン）,タブレット,40,2,0,0
B（新デザイン）,PC,75,4,1,4990
B（新デザイン）,スマホ,34,4,0,0
B（新デザイン）,スマホ,47,2,0,0
B（新デザイン）,スマホ,49,3,0,0
B（新デザイン）,スマホ,38,3,0,0
