プラン,月額料金,契約月数,直近30日ログイン日数,月間視聴時間,サポート問合せ回数,値上げ経験,解約
スタンダード,990,32,0,2.3,1,1,0
ライト,790,7,16,40.0,2,1,0
ライト,790,32,10,11.8,1,0,0
スタンダード,990,15,15,30.9,0,1,0
プレミアム,1980,6,17,13.7,0,1,1
ライト,490,5,0,5.0,0,1,0
スタンダード,990,10,14,25.6,0,1,0
プレミアム,1980,20,15,16.0,1,0,0
スタンダード,990,5,14,43.9,2,1,0
プレミアム,1980,9,16,13.8,2,0,0
ライト,790,4,8,11.4,1,0,1
スタンダード,990,28,2,8.7,1,1,0
ライト,790,2,12,15.7,1,1,0
プレミアム,1980,14,18,47.5,1,1,0
プレミアム,1980,13,18,30.1,1,0,0
プレミアム,1980,11,13,33.0,1,0,0
プレミアム,1980,4,8,12.3,1,1,1
ライト,790,10,5,19.0,2,0,0
スタンダード,990,14,3,5.9,1,1,1
プレミアム,1980,12,10,29.4,2,1,1
スタンダード,1480,15,7,9.3,1,0,0
ライト,490,7,23,47.3,2,0,0
ライト,790,16,9,35.6,0,0,0
スタンダード,1480,15,17,30.1,3,0,0
プレミアム,1980,6,12,38.6,2,1,1
ライト,490,20,29,64.3,0,0,0
プレミアム,1980,22,7,14.5,1,0,0
プレミアム,1980,23,21,49.5,0,1,0
スタンダード,1480,12,14,33.9,1,0,0
ライト,490,8,23,30.7,1,0,0
ライト,490,4,8,13.9,1,1,1
スタンダード,1480,6,4,4.9,1,0,0
ライト,790,8,0,6.5,2,0,0
プレミアム,1980,15,16,23.5,0,0,0
スタンダード,1480,3,7,6.7,0,1,1
スタンダード,990,6,5,16.5,2,0,0
スタンダード,990,8,7,12.1,1,0,0
プレミアム,1980,19,14,31.7,1,1,0
ライト,790,2,5,12.5,1,0,0
スタンダード,1480,9,23,59.0,0,1,0
ライト,790,9,7,2.4,0,0,0
ライト,790,13,7,16.4,1,1,0
スタンダード,990,2,27,30.8,0,1,0
プレミアム,1980,2,5,8.2,2,0,1
スタンダード,1480,1,5,10.8,1,1,1
プレミアム,1980,5,8,21.7,2,1,1
スタンダード,1480,10,4,10.4,2,1,0
スタンダード,990,14,7,20.6,1,1,0
スタンダード,1480,1,17,11.8,2,0,1
スタンダード,1480,18,8,17.2,1,0,0
スタンダード,990,37,9,23.5,1,0,0
ライト,490,2,17,28.8,2,0,0
プレミアム,1980,9,23,32.5,2,0,0
ライト,790,6,8,15.2,0,1,0
スタンダード,990,8,16,22.7,0,1,0
スタンダード,990,13,2,2.0,1,0,1
スタンダード,1480,23,22,11.5,0,0,0
スタンダード,990,4,10,19.0,1,0,0
スタンダード,1480,25,19,40.4,2,1,0
スタンダード,990,6,10,16.9,1,1,1
スタンダード,990,6,26,55.8,3,1,0
スタンダード,1480,19,15,29.8,0,0,0
プレミアム,1980,19,0,8.2,1,1,1
ライト,490,10,21,37.4,2,0,0
プレミアム,1980,3,14,42.9,4,0,1
ライト,490,5,14,29.9,0,0,0
ライト,790,9,21,55.7,1,0,0
プレミアム,1980,26,19,51.9,2,0,0
スタンダード,990,17,11,27.2,0,0,0
プレミアム,1980,18,14,29.8,1,0,0
ライト,790,11,21,48.8,3,0,0
スタンダード,1480,30,9,15.0,2,0,0
スタンダード,1480,13,6,6.5,1,0,1
ライト,490,18,25,0.0,0,0,0
スタンダード,1480,13,21,64.1,2,0,0
プレミアム,1980,8,12,13.9,1,1,1
ライト,490,1,24,23.0,2,0,0
ライト,790,8,15,15.1,1,0,0
スタンダード,990,12,17,18.2,2,1,0
スタンダード,990,8,7,3.4,2,1,0
ライト,490,8,18,33.4,1,1,0
ライト,790,7,11,29.9,1,0,0
スタンダード,990,2,19,35.2,1,1,0
スタンダード,990,15,15,47.5,0,1,0
スタンダード,1480,14,10,15.8,1,0,0
スタンダード,990,10,10,6.4,0,1,0
ライト,490,9,17,47.9,0,1,0
プレミアム,1980,21,23,70.0,1,0,0
ライト,490,5,17,24.7,0,0,0
ライト,490,21,15,32.9,3,0,0
プレミアム,1980,12,26,47.1,1,0,0
プレミアム,1980,36,9,14.8,0,0,0
プレミアム,1980,7,17,39.1,1,0,1
スタンダード,990,7,9,21.8,3,1,0
スタンダード,990,29,14,45.8,1,0,0
スタンダード,1480,25,9,14.7,0,0,0
スタンダード,1480,40,0,0.5,1,1,1
スタンダード,1480,27,18,44.0,2,0,0
プレミアム,1980,18,11,23.6,1,1,0
ライト,790,18,7,8.7,1,0,0
ライト,790,14,12,16.5,2,1,1
スタンダード,990,4,5,11.8,1,0,1
スタンダード,1480,3,0,0.0,0,0,1
ライト,790,13,11,17.6,0,0,0
スタンダード,1480,30,0,1.4,0,0,0
スタンダード,1480,3,8,9.9,1,0,0
ライト,490,25,3,7.6,0,1,0
プレミアム,1980,11,24,31.9,0,1,1
ライト,490,16,27,36.8,3,0,0
スタンダード,990,5,26,43.9,2,1,0
プレミアム,1980,10,4,9.5,1,1,1
ライト,490,14,0,5.5,2,1,1
プレミアム,1980,27,17,22.3,1,0,0
ライト,490,2,7,22.8,1,0,0
スタンダード,990,6,19,49.7,1,1,0
ライト,790,26,10,13.5,0,0,0
プレミアム,1980,32,30,57.9,2,1,0
スタンダード,1480,2,7,5.9,2,0,1
ライト,490,12,17,35.9,3,0,0
ライト,790,5,0,0.2,0,0,0
プレミアム,1980,33,12,24.4,1,0,0
スタンダード,990,3,22,58.7,0,0,0
プレミアム,1980,15,14,30.7,1,0,0
ライト,490,36,17,32.6,1,0,0
ライト,490,29,16,26.9,1,0,0
プレミアム,1980,13,25,75.7,2,0,0
ライト,490,7,24,30.4,2,0,0
ライト,790,19,9,23.8,1,1,0
スタンダード,990,11,29,86.6,1,0,0
ライト,790,20,13,24.9,2,0,0
プレミアム,1980,2,6,14.2,1,0,1
ライト,490,15,13,18.0,1,0,0
ライト,490,16,23,13.8,0,0,0
ライト,790,2,23,50.4,0,0,0
スタンダード,990,8,10,0.0,1,0,0
スタンダード,990,4,5,3.0,3,0,1
スタンダード,990,7,7,20.9,2,1,1
スタンダード,990,18,10,27.9,1,1,0
ライト,790,22,11,14.1,2,0,0
スタンダード,990,22,17,39.0,0,0,0
ライト,490,9,12,12.2,1,0,0
プレミアム,1980,14,13,24.6,3,1,1
ライト,490,18,17,43.5,1,0,0
スタンダード,990,16,10,19.8,0,0,1
ライト,790,13,22,27.6,0,1,0
プレミアム,1980,16,17,23.5,1,0,0
プレミアム,1980,15,21,55.8,1,1,0
プレミアム,1980,3,24,56.2,1,0,0
スタンダード,1480,11,4,8.7,1,0,0
ライト,490,8,9,3.5,0,0,0
ライト,790,8,9,22.1,1,0,0
スタンダード,990,16,22,37.7,2,1,0
プレミアム,1980,2,17,49.1,0,0,0
プレミアム,1980,12,19,48.3,0,0,0
ライト,490,30,10,24.6,2,0,0
ライト,790,11,18,42.0,1,1,0
ライト,790,7,14,23.6,1,0,0
ライト,790,21,19,30.9,1,0,0
プレミアム,1980,11,4,8.6,0,0,0
スタンダード,990,13,24,35.7,0,0,0
ライト,790,1,0,0.0,1,1,1
プレミアム,1980,11,13,26.9,1,0,0
プレミアム,1980,8,7,7.6,2,0,1
スタンダード,1480,9,0,9.7,0,0,0
スタンダード,990,11,8,19.3,2,1,0
スタンダード,990,29,10,26.7,0,1,1
ライト,490,3,11,12.9,0,0,0
プレミアム,1980,11,23,37.0,0,1,0
ライト,490,21,3,5.9,1,0,0
スタンダード,1480,17,17,38.8,1,0,0
スタンダード,990,21,15,24.4,0,0,0
プレミアム,1980,5,10,15.0,1,1,1
プレミアム,1980,5,18,8.5,1,1,0
ライト,490,7,13,17.2,1,0,0
スタンダード,1480,23,8,7.2,1,1,0
プレミアム,1980,10,7,15.2,1,0,0
プレミアム,1980,11,3,8.4,1,1,1
ライト,490,12,13,21.1,2,0,0
スタンダード,990,5,13,29.7,2,1,1
プレミアム,1980,10,14,30.0,2,0,0
プレミアム,1980,7,10,25.1,0,0,0
プレミアム,1980,20,16,52.1,1,0,0
スタンダード,990,24,1,3.9,1,1,0
ライト,790,8,17,31.2,1,0,0
ライト,790,4,0,1.9,1,0,1
プレミアム,1980,28,18,31.1,2,1,0
プレミアム,1980,3,14,22.7,2,0,0
スタンダード,990,3,0,0.0,1,1,1
プレミアム,1980,4,23,45.3,0,0,0
プレミアム,1980,12,24,42.8,2,1,0
スタンダード,990,13,15,27.6,1,0,0
ライト,790,13,16,31.8,2,0,0
スタンダード,1480,19,14,27.2,0,0,0
ライト,790,11,13,7.8,0,1,0
ライト,490,14,5,4.8,1,0,1
ライト,490,4,20,44.9,1,0,0
ライト,490,16,6,15.0,1,1,1
プレミアム,1980,4,16,37.9,0,0,0
ライト,490,11,4,15.3,2,0,1
スタンダード,1480,38,13,6.4,2,1,0
スタンダード,990,3,16,35.1,2,1,0
スタンダード,990,6,15,34.9,1,1,0
スタンダード,990,9,12,28.7,1,0,0
スタンダード,1480,8,8,17.3,0,1,1
ライト,490,20,3,5.0,2,1,1
プレミアム,1980,3,11,18.5,0,0,1
ライト,790,6,7,17.2,2,0,1
プレミアム,1980,19,11,12.8,0,1,0
ライト,490,14,30,48.7,2,0,0
ライト,790,32,4,17.4,1,0,0
スタンダード,1480,32,18,48.5,0,0,0
ライト,490,34,17,39.4,1,0,0
ライト,790,6,18,32.5,1,0,0
スタンダード,1480,5,14,14.3,2,0,0
ライト,490,36,17,26.5,1,0,0
プレミアム,1980,35,10,4.4,1,0,0
ライト,790,4,7,5.4,2,0,0
ライト,790,21,3,1.8,0,0,0
