エリア,専有面積,築年数,駅徒歩分,所在階,駅乗降客数,成約価格
城東・城北,46.4,3,1,4,11.1,4990
城東・城北,60.0,10,2,2,4.1,3860
城東・城北,57.1,5,3,6,4.7,4290
近郊（多摩・県境）,65.2,12,7,4,1.7,1660
近郊（多摩・県境）,32.7,13,1,1,4.0,1560
城南・城西,87.0,2,11,2,12.0,7160
城南・城西,80.2,29,5,10,9.2,5090
城東・城北,53.2,37,8,6,5.5,1660
都心3区,49.7,1,2,10,13.2,9600
城東・城北,71.9,21,14,5,5.4,2280
城南・城西,44.5,13,5,1,21.4,4570
城東・城北,66.1,7,1,1,7.7,4890
都心3区,61.0,42,4,9,31.7,6010
城東・城北,40.9,31,2,2,4.3,2170
城東・城北,59.5,1,5,4,6.1,4800
城東・城北,78.3,10,2,5,2.5,3930
城東・城北,28.4,11,11,11,8.0,1550
城南・城西,62.9,12,5,1,20.5,6880
城東・城北,57.9,7,7,8,3.9,3300
城南・城西,49.8,7,4,9,12.9,5810
城東・城北,57.7,14,4,12,3.1,3320
近郊（多摩・県境）,46.4,39,1,6,3.7,1500
城東・城北,62.1,3,4,7,3.8,5030
城南・城西,42.5,25,1,1,20.2,4370
近郊（多摩・県境）,69.1,31,15,7,3.9,980
城南・城西,59.3,8,1,10,13.8,6310
近郊（多摩・県境）,64.3,7,6,5,6.1,3050
都心3区,66.4,22,3,5,21.3,8550
城東・城北,65.0,8,2,7,5.4,5130
都心3区,71.4,13,2,9,24.7,9110
都心3区,50.7,27,1,2,32.6,8100
城南・城西,39.7,0,3,2,8.3,4260
城東・城北,76.8,1,9,7,7.6,4950
城東・城北,61.0,7,7,1,4.8,3100
城東・城北,56.0,21,7,1,12.0,2680
城南・城西,89.7,3,5,9,6.0,7510
近郊（多摩・県境）,63.1,23,3,10,5.6,2750
城南・城西,51.7,0,2,2,15.6,9530
都心3区,42.8,10,1,3,33.0,7820
近郊（多摩・県境）,40.8,0,8,1,6.6,2360
近郊（多摩・県境）,47.5,20,2,2,1.6,1500
城東・城北,75.6,16,4,14,12.3,5580
都心3区,71.4,40,6,7,19.1,5250
近郊（多摩・県境）,55.3,34,1,9,1.3,1810
近郊（多摩・県境）,51.3,20,9,6,5.0,1540
城南・城西,44.6,36,8,7,5.0,2000
城南・城西,59.8,3,8,8,17.1,5230
近郊（多摩・県境）,62.1,10,3,3,2.9,2150
近郊（多摩・県境）,65.6,0,1,10,4.9,3890
近郊（多摩・県境）,54.7,0,1,4,0.9,2550
城東・城北,100.0,0,6,3,9.7,7650
城南・城西,69.7,10,2,6,7.8,4940
近郊（多摩・県境）,54.6,18,7,2,6.7,2110
近郊（多摩・県境）,64.0,31,3,12,7.2,2150
都心3区,78.4,9,14,3,31.2,6130
都心3区,51.5,24,3,6,19.8,5660
近郊（多摩・県境）,56.3,15,4,11,6.7,2560
城南・城西,39.8,12,1,1,16.5,4640
近郊（多摩・県境）,64.6,9,3,1,2.9,2520
城南・城西,33.3,12,2,6,18.0,4030
都心3区,39.1,7,1,3,19.5,6890
城東・城北,29.7,26,9,3,5.4,1130
都心3区,41.4,9,15,5,16.2,3010
近郊（多摩・県境）,56.6,7,6,2,7.2,2200
城南・城西,52.8,10,1,1,8.1,4550
近郊（多摩・県境）,48.0,28,3,6,7.3,1920
城東・城北,80.4,7,6,5,3.1,3700
近郊（多摩・県境）,69.5,4,2,1,5.5,3680
近郊（多摩・県境）,56.1,5,2,2,1.5,2470
近郊（多摩・県境）,41.8,29,7,15,4.4,1400
城東・城北,34.4,3,1,2,4.6,2940
都心3区,48.8,5,2,5,20.8,9140
城南・城西,78.6,6,9,4,21.2,5990
都心3区,77.9,43,11,9,16.3,4470
近郊（多摩・県境）,65.0,26,5,7,1.4,1840
城東・城北,49.9,25,3,2,6.2,2440
城南・城西,56.9,24,2,6,21.1,7230
城東・城北,69.8,30,1,6,5.1,3410
城東・城北,76.8,4,9,8,10.5,4900
城東・城北,81.3,44,2,2,2.3,2340
城東・城北,66.8,38,1,9,3.3,2500
都心3区,65.0,17,2,3,20.1,8460
城南・城西,39.8,10,10,7,19.5,3310
近郊（多摩・県境）,45.5,5,5,14,3.1,2270
都心3区,56.3,0,5,6,15.5,9120
近郊（多摩・県境）,41.4,43,8,3,6.9,1120
城南・城西,29.5,1,1,6,10.6,4890
近郊（多摩・県境）,68.9,2,1,2,3.7,3360
城南・城西,56.9,42,5,8,21.6,4090
城南・城西,49.8,0,6,10,18.3,6290
城東・城北,68.5,29,4,1,13.8,3650
近郊（多摩・県境）,55.1,0,4,3,3.7,3150
城東・城北,58.0,11,9,3,10.5,2940
城東・城北,36.7,3,8,8,6.1,2860
都心3区,61.7,0,3,3,28.4,13690
城東・城北,45.7,11,8,4,5.7,2290
都心3区,45.7,36,14,2,21.1,2170
城東・城北,89.1,10,14,1,7.8,3330
都心3区,46.5,9,4,1,30.9,7290
城東・城北,71.0,1,13,10,4.7,3170
城南・城西,71.4,11,8,5,18.0,5390
城東・城北,42.1,21,8,7,10.0,1940
城東・城北,40.1,33,6,12,2.7,1880
城東・城北,37.1,29,4,3,4.4,1590
都心3区,31.9,10,1,3,32.4,6630
都心3区,75.0,8,8,3,20.1,7800
城東・城北,73.6,24,2,5,11.5,4300
城南・城西,61.0,2,3,6,12.0,6800
城東・城北,51.2,1,7,3,2.6,3440
近郊（多摩・県境）,57.0,19,11,3,1.3,1210
城東・城北,45.9,13,13,14,6.3,2150
近郊（多摩・県境）,41.1,29,7,5,2.1,1050
都心3区,65.4,15,3,13,12.6,6900
城東・城北,60.4,28,1,5,8.3,4230
近郊（多摩・県境）,62.2,9,4,3,4.5,2470
近郊（多摩・県境）,38.0,39,11,4,1.5,570
城南・城西,48.0,0,5,3,9.3,5100
近郊（多摩・県境）,57.7,12,2,11,4.9,2800
近郊（多摩・県境）,42.9,14,8,7,3.1,1300
城南・城西,59.7,12,1,8,14.6,7840
城南・城西,59.1,3,2,1,11.9,6830
城東・城北,46.8,7,2,7,2.3,3160
城東・城北,63.5,7,2,17,12.2,5930
城東・城北,48.3,43,1,6,3.6,2070
城東・城北,43.6,6,2,5,9.2,4430
城東・城北,67.4,31,5,4,6.1,2800
城東・城北,62.2,0,3,2,10.2,6040
近郊（多摩・県境）,62.4,16,4,2,4.2,2090
近郊（多摩・県境）,53.0,14,5,6,3.8,1590
城東・城北,79.0,14,6,4,8.1,4340
城東・城北,55.3,42,2,14,8.2,2800
都心3区,61.7,12,2,8,27.6,9300
城東・城北,45.4,22,4,5,7.9,2430
都心3区,47.4,0,6,9,28.0,8250
城東・城北,40.7,6,13,1,4.4,1890
近郊（多摩・県境）,45.1,38,2,8,3.6,1390
近郊（多摩・県境）,67.1,43,12,1,5.1,1080
都心3区,55.3,1,3,2,32.0,12140
近郊（多摩・県境）,63.2,30,5,3,5.9,2110
城東・城北,55.3,4,9,3,8.4,3150
城東・城北,79.3,7,5,1,13.3,5890
近郊（多摩・県境）,42.6,14,13,3,5.3,1170
城東・城北,78.4,30,4,2,3.4,2770
都心3区,34.4,22,3,3,17.0,4010
城南・城西,69.9,29,13,3,15.8,3400
都心3区,45.4,2,8,2,21.0,6210
城南・城西,56.3,6,9,3,19.8,4880
近郊（多摩・県境）,44.5,4,1,11,5.9,3010
城東・城北,31.2,6,4,6,12.0,2930
近郊（多摩・県境）,49.3,21,2,4,4.6,1920
城南・城西,54.2,37,2,6,18.5,5060
城東・城北,60.4,7,3,7,8.4,4860
城東・城北,53.0,7,14,12,13.5,3310
城東・城北,42.5,8,5,10,4.2,2370
近郊（多摩・県境）,72.6,14,1,2,7.4,3400
城南・城西,48.4,17,1,11,9.8,4200
都心3区,51.5,39,1,8,14.7,4300
城東・城北,49.3,27,7,1,8.9,2030
城南・城西,50.2,9,7,2,8.6,3830
城東・城北,52.3,3,15,6,8.1,2530
城南・城西,64.7,18,14,4,11.3,2960
都心3区,40.9,7,12,8,25.8,4160
城東・城北,64.3,29,8,4,10.9,2860
城東・城北,58.3,18,6,2,4.9,2510
城南・城西,92.5,11,8,4,14.9,6290
城南・城西,96.8,8,10,6,21.1,6600
近郊（多摩・県境）,66.8,12,3,5,1.1,1870
城東・城北,47.3,29,1,5,4.1,2580
近郊（多摩・県境）,66.1,11,3,3,2.6,2230
城南・城西,45.4,29,8,6,18.3,2720
城南・城西,39.1,7,9,7,15.0,3030
城東・城北,58.1,7,5,4,11.2,3750
近郊（多摩・県境）,36.3,22,7,10,7.9,1540
近郊（多摩・県境）,70.0,27,11,6,1.6,1130
城南・城西,70.3,12,11,6,6.0,3720
都心3区,63.9,1,11,8,15.0,7520
城南・城西,62.2,3,1,7,19.8,10700
城東・城北,22.0,4,6,10,2.3,1610
都心3区,42.1,15,4,3,25.8,6310
城東・城北,53.8,12,5,19,13.8,4400
城南・城西,35.3,9,2,10,7.7,3460
城東・城北,45.9,6,8,1,6.2,2740
近郊（多摩・県境）,54.7,0,3,8,1.6,2660
近郊（多摩・県境）,35.2,14,2,5,3.7,1580
近郊（多摩・県境）,70.3,3,16,3,6.5,2410
都心3区,69.8,19,5,7,24.8,8590
都心3区,24.6,11,6,1,13.7,2990
城東・城北,66.3,29,1,5,7.1,3330
城東・城北,51.8,26,13,4,7.3,1620
近郊（多摩・県境）,73.5,29,1,1,0.7,1970
城東・城北,81.6,3,1,3,13.1,7630
城東・城北,56.1,27,2,5,13.0,3890
近郊（多摩・県境）,76.4,3,9,2,6.2,3490
城南・城西,58.9,10,12,1,19.3,4280
城南・城西,44.6,24,5,9,13.4,3730
城東・城北,58.0,11,8,3,8.5,2840
城東・城北,66.6,29,1,1,6.6,3150
城南・城西,39.9,28,5,14,20.2,4030
近郊（多摩・県境）,60.3,10,5,1,5.6,2290
城東・城北,27.8,11,4,1,7.6,1720
城南・城西,75.8,45,6,3,13.1,3550
城南・城西,67.0,21,4,2,8.3,4270
城東・城北,64.4,3,3,4,9.2,5710
城南・城西,73.6,11,4,2,20.1,7510
近郊（多摩・県境）,89.7,39,5,6,1.6,1840
都心3区,48.8,12,7,7,16.8,4230
城東・城北,53.2,11,2,2,12.7,4690
都心3区,80.4,9,4,2,28.0,10810
近郊（多摩・県境）,62.9,20,15,12,0.9,1090
城南・城西,61.8,18,5,4,18.8,5430
城南・城西,66.2,22,14,10,6.3,3140
城南・城西,45.4,2,10,11,14.7,5120
近郊（多摩・県境）,39.6,39,5,7,4.5,1360
近郊（多摩・県境）,33.7,7,10,7,6.2,1360
城南・城西,97.9,11,7,2,10.6,7850
近郊（多摩・県境）,61.6,12,7,2,2.7,1900
近郊（多摩・県境）,46.2,33,4,9,5.9,1590
城東・城北,62.7,28,2,6,2.3,2610
近郊（多摩・県境）,33.8,14,7,2,2.8,1050
城東・城北,51.0,17,3,4,13.5,3550
都心3区,40.2,44,5,3,22.5,3310
都心3区,54.6,13,2,3,31.3,8490
城南・城西,22.0,10,2,3,13.4,2230
城東・城北,58.0,7,3,12,13.8,5390
近郊（多摩・県境）,31.8,16,5,1,1.0,730
都心3区,46.5,9,5,1,32.8,7850
城東・城北,75.9,9,3,5,10.4,6290
近郊（多摩・県境）,54.9,6,12,9,2.8,1810
都心3区,53.6,26,8,2,16.3,4010
近郊（多摩・県境）,73.1,1,15,6,3.9,2280
都心3区,54.6,9,11,4,22.3,4640
近郊（多摩・県境）,50.0,45,12,9,2.7,960
近郊（多摩・県境）,51.5,7,4,3,6.1,2670
城南・城西,57.9,20,4,1,20.0,5520
城東・城北,47.8,12,1,1,7.3,2710
都心3区,54.7,0,5,2,12.9,8220
城南・城西,62.7,5,3,9,17.4,11140
城東・城北,63.0,39,13,5,3.5,1420
城南・城西,61.4,3,3,4,20.7,9420
近郊（多摩・県境）,23.5,12,8,5,7.7,990
近郊（多摩・県境）,73.9,15,1,2,5.9,3530
城東・城北,68.9,7,4,3,6.2,4540
城南・城西,22.0,1,16,9,10.7,2010
近郊（多摩・県境）,59.4,2,3,2,6.5,3660
城東・城北,46.7,2,2,1,9.5,4470
都心3区,93.9,6,3,8,19.9,13630
近郊（多摩・県境）,74.1,12,9,4,6.8,2180
近郊（多摩・県境）,67.5,7,5,5,3.3,3180
都心3区,74.4,15,2,6,14.3,8170
城南・城西,66.5,24,8,12,19.1,4800
城東・城北,58.3,9,8,3,6.5,2390
城東・城北,48.2,33,8,17,11.5,2690
城東・城北,74.6,13,2,4,13.5,5770
城南・城西,33.1,0,6,1,21.3,4420
城東・城北,62.7,21,12,4,7.8,2450
城東・城北,55.8,13,9,7,9.0,2590
城南・城西,23.6,26,6,5,20.8,1870
城南・城西,68.6,7,7,1,6.0,4250
都心3区,42.9,8,2,4,17.2,6440
城南・城西,59.9,12,2,11,20.4,7730
城東・城北,42.6,6,4,1,13.9,3400
都心3区,49.7,5,1,6,26.5,10340
城東・城北,93.1,45,5,7,2.8,2850
城南・城西,43.9,29,1,6,6.6,3110
城南・城西,61.8,26,16,3,19.5,2620
城東・城北,45.1,43,12,7,2.2,1020
城東・城北,50.1,11,17,11,3.5,1600
城東・城北,71.6,4,4,2,2.3,3900
近郊（多摩・県境）,57.2,39,11,7,7.1,1380
城南・城西,45.9,16,3,3,17.0,4680
近郊（多摩・県境）,82.2,10,3,7,6.6,3370
城東・城北,36.0,6,6,2,2.3,1810
近郊（多摩・県境）,59.6,5,9,6,3.1,2060
都心3区,78.9,42,3,9,12.7,6120
近郊（多摩・県境）,49.0,37,3,4,5.9,1630
城東・城北,45.8,7,12,3,5.9,2220
城東・城北,38.0,37,10,3,2.2,950
都心3区,31.7,10,1,3,23.5,5560
城東・城北,57.0,42,6,5,5.4,1830
都心3区,89.5,39,4,7,33.7,8470
城東・城北,60.8,1,1,7,8.0,6380
城東・城北,57.7,8,7,3,4.5,2950
近郊（多摩・県境）,24.8,3,5,7,2.4,1290
近郊（多摩・県境）,38.0,8,3,9,1.4,1650
城南・城西,62.8,16,1,12,21.5,8070
城東・城北,60.0,1,6,1,4.8,4570
近郊（多摩・県境）,52.6,15,1,7,0.8,2010
城南・城西,42.1,17,5,3,15.4,4250
近郊（多摩・県境）,46.3,2,2,4,0.8,1930
城東・城北,77.4,28,4,8,10.6,4380
城南・城西,58.6,0,9,8,21.9,7250
城東・城北,68.4,16,6,1,6.7,3320
城南・城西,69.0,4,13,8,8.5,4760
城南・城西,27.2,6,14,2,8.8,2020
城南・城西,72.7,8,3,8,19.9,9090
城東・城北,22.1,1,12,7,12.4,2110
都心3区,45.1,11,11,5,35.0,4100
都心3区,47.4,11,4,9,15.1,6320
近郊（多摩・県境）,43.7,10,3,4,3.5,1900
近郊（多摩・県境）,66.0,3,1,4,6.6,3620
城南・城西,79.6,43,4,7,14.1,3900
城東・城北,44.3,3,4,1,5.0,2840
都心3区,74.2,22,2,3,15.8,7700
都心3区,54.2,8,3,3,20.2,8870
近郊（多摩・県境）,66.8,10,2,3,4.3,2470
都心3区,55.5,4,10,10,19.8,6650
近郊（多摩・県境）,66.4,44,4,1,6.2,1880
城南・城西,56.0,11,5,2,20.4,4950
城東・城北,55.4,8,6,1,5.5,2500
都心3区,54.1,8,7,1,34.5,6570
近郊（多摩・県境）,53.6,7,5,1,6.7,2630
城南・城西,64.2,32,3,4,5.1,3740
城東・城北,75.0,3,2,8,5.4,6200
近郊（多摩・県境）,70.0,34,9,3,6.0,1620
都心3区,44.2,40,3,3,23.6,4900
城東・城北,48.5,10,12,4,8.2,2410
城南・城西,56.9,30,3,7,17.2,5330
近郊（多摩・県境）,46.5,4,4,5,2.1,2160
城南・城西,42.4,3,7,10,10.6,4510
城南・城西,55.9,0,11,9,19.7,6320
都心3区,62.7,11,7,6,13.7,6060
城東・城北,66.1,0,4,10,11.0,6670
都心3区,55.7,23,8,4,19.4,4130
城南・城西,64.7,14,6,5,5.4,3920
城南・城西,68.8,8,9,2,9.7,4700
近郊（多摩・県境）,62.1,3,9,2,1.3,2210
城東・城北,46.8,2,5,4,11.6,3780
都心3区,54.4,1,5,7,18.6,8950
城東・城北,58.0,10,1,5,9.4,4230
城南・城西,75.2,5,9,8,7.7,5290
城南・城西,51.6,31,4,7,7.9,3170
近郊（多摩・県境）,40.9,3,6,3,5.7,1880
城東・城北,84.3,2,2,5,2.6,5920
城南・城西,60.8,3,13,1,6.4,3240
城南・城西,54.1,0,4,3,13.3,8050
近郊（多摩・県境）,64.8,13,13,4,3.5,1710
城東・城北,60.8,12,15,1,11.9,2410
都心3区,66.7,44,1,2,28.2,7340
近郊（多摩・県境）,60.5,7,10,4,2.6,2000
城南・城西,54.4,25,3,4,14.0,3530
近郊（多摩・県境）,56.9,2,1,1,1.3,2830
城南・城西,66.9,26,1,5,6.1,4540
城東・城北,44.8,3,7,3,5.4,2870
城南・城西,22.0,6,1,11,11.8,3070
城東・城北,42.2,13,1,1,7.3,2980
城東・城北,62.6,24,4,3,3.4,2570
都心3区,60.5,38,2,10,14.5,4870
近郊（多摩・県境）,35.1,30,2,4,2.9,1330
城南・城西,30.4,19,11,8,12.5,1970
城南・城西,58.2,2,5,2,21.0,9130
城東・城北,46.4,3,6,11,11.5,4260
城南・城西,60.4,6,2,14,7.5,6010
近郊（多摩・県境）,64.4,0,7,1,6.7,3190
城東・城北,64.6,20,7,4,8.2,2960
近郊（多摩・県境）,72.4,25,2,3,3.4,2300
城南・城西,44.0,16,3,17,15.2,5160
城東・城北,34.9,6,5,7,11.8,2880
城東・城北,53.5,24,15,13,9.9,1740
都心3区,70.3,3,5,9,20.0,11960
城南・城西,36.7,23,6,4,10.6,2400
城東・城北,26.5,8,3,6,10.9,2430
都心3区,64.9,16,4,5,33.7,8380
城南・城西,67.9,12,12,2,12.1,3510
城南・城西,29.8,25,4,12,11.9,2460
城東・城北,69.6,43,10,2,13.0,2110
城南・城西,42.1,9,3,14,8.4,4150
近郊（多摩・県境）,44.1,20,1,6,7.0,2200
城南・城西,55.7,29,4,2,20.4,5130
近郊（多摩・県境）,48.8,44,5,4,2.0,1280
近郊（多摩・県境）,40.5,11,5,8,0.9,1210
都心3区,64.3,40,4,6,25.0,6820
城南・城西,54.8,9,2,6,5.8,4270
城南・城西,55.7,16,8,3,11.2,3960
城東・城北,43.3,6,12,1,8.4,2460
近郊（多摩・県境）,72.9,8,2,3,7.9,3520
近郊（多摩・県境）,60.1,24,1,1,3.0,2020
近郊（多摩・県境）,62.5,10,4,4,3.9,2430
近郊（多摩・県境）,65.1,1,8,2,3.5,2970
城東・城北,44.9,9,9,2,9.6,2560
城東・城北,27.1,10,3,14,8.5,2200
城東・城北,43.5,25,9,1,4.7,1640
城南・城西,24.2,5,2,3,8.2,2680
城南・城西,67.0,45,9,2,12.0,3000
近郊（多摩・県境）,36.4,2,11,2,3.1,1580
城南・城西,48.8,4,1,1,12.2,6540
城東・城北,63.8,18,6,3,11.6,3570
近郊（多摩・県境）,34.8,11,1,3,6.7,2270
城東・城北,88.3,11,4,1,2.2,4060
城東・城北,61.8,23,3,9,2.2,2670
城南・城西,64.7,14,8,3,12.9,4140
城南・城西,64.5,3,3,14,14.6,8750
城南・城西,99.8,12,16,1,18.2,5100
城南・城西,79.9,8,5,7,13.9,7120
城東・城北,48.6,30,11,8,5.6,2000
城南・城西,69.8,5,5,3,20.5,8990
近郊（多摩・県境）,84.5,15,7,9,4.4,2920
城南・城西,54.5,22,1,4,6.4,4160
城南・城西,69.2,4,5,10,18.2,9380
近郊（多摩・県境）,62.0,4,6,5,1.2,2240
城東・城北,50.9,1,4,2,3.6,4040
近郊（多摩・県境）,60.2,34,6,2,5.0,1370
近郊（多摩・県境）,40.1,11,6,10,1.9,1330
城南・城西,45.8,26,5,3,11.3,3560
城東・城北,55.2,1,4,10,6.4,4570
城東・城北,60.9,20,1,1,11.5,4030
城東・城北,73.1,11,8,8,7.1,3410
城南・城西,60.7,29,6,1,15.3,4200
近郊（多摩・県境）,68.0,4,1,10,3.4,3690
都心3区,58.5,1,1,1,19.3,10090
城南・城西,53.0,34,11,1,6.8,1930
城南・城西,67.3,16,3,6,5.7,5200
城東・城北,68.9,1,12,3,7.7,3400
近郊（多摩・県境）,58.5,12,5,4,8.0,2440
近郊（多摩・県境）,45.8,23,5,7,6.0,1800
都心3区,64.0,4,2,7,31.9,12670
城南・城西,44.1,30,1,11,7.5,3370
都心3区,64.6,6,1,13,19.8,11510
城南・城西,58.2,15,3,6,18.0,6200
城南・城西,49.1,29,8,3,19.0,3390
城東・城北,72.9,9,4,13,12.4,5940
城東・城北,46.4,31,3,5,6.8,2190
城南・城西,52.4,1,4,2,17.9,7120
城東・城北,56.4,1,5,7,10.9,5550
城南・城西,68.7,37,6,1,11.3,3600
近郊（多摩・県境）,52.9,6,4,11,1.7,2180
城東・城北,79.7,41,6,1,7.8,2840
城東・城北,76.1,27,4,2,8.4,3270
城東・城北,38.1,3,6,7,5.8,2930
都心3区,32.4,12,7,6,32.0,4240
城南・城西,58.3,1,10,8,19.4,7180
都心3区,22.0,3,3,12,18.8,4790
城南・城西,47.9,31,5,9,13.5,3560
城南・城西,33.2,12,9,12,20.6,3040
城東・城北,48.9,31,5,9,4.6,2310
近郊（多摩・県境）,54.0,30,10,5,5.9,1390
城南・城西,48.5,24,4,10,14.2,3600
都心3区,48.1,9,2,7,31.5,10660
城南・城西,28.7,10,10,5,21.9,3040
都心3区,48.2,12,7,5,25.0,5020
城東・城北,63.3,30,1,8,12.7,4540
都心3区,47.4,16,1,7,25.2,7230
城南・城西,60.7,4,4,3,9.7,6130
城東・城北,45.5,13,6,4,2.9,1770
都心3区,65.6,1,2,7,20.7,12540
城東・城北,47.7,11,7,3,3.1,2510
近郊（多摩・県境）,68.2,10,3,3,3.1,2670
近郊（多摩・県境）,68.7,1,1,7,2.6,3920
城東・城北,79.5,27,10,2,13.0,2910
近郊（多摩・県境）,61.3,1,1,3,4.9,3720
城東・城北,28.9,27,11,1,12.1,1500
都心3区,55.1,16,2,7,21.6,8210
城東・城北,62.4,15,1,6,2.5,3310
近郊（多摩・県境）,92.9,1,6,7,5.8,4690
城東・城北,41.5,19,9,12,11.9,2690
城東・城北,66.2,6,3,11,9.6,5530
城南・城西,37.4,3,2,8,7.3,4660
城東・城北,60.8,38,8,12,11.5,2540
城南・城西,58.9,4,7,7,21.6,6340
城東・城北,66.6,12,2,10,2.1,3070
城東・城北,76.1,4,5,4,7.6,5730
城南・城西,52.9,16,8,6,6.6,3080
城南・城西,44.6,12,13,9,6.6,2900
都心3区,38.7,17,4,7,25.2,5350
近郊（多摩・県境）,52.8,3,3,5,1.0,1950
近郊（多摩・県境）,32.8,5,10,4,6.4,1620
城東・城北,68.8,14,2,4,7.6,4040
